"Тарифный План, стоимость в долларах США",50$,90$,800$
Кол-во Credits,500,1000,10000
"Услуги, сервисы",,,
Buildings / Здания,5,5,5
,$0.50,$0.45,$0.40
Building classification / Классификация зданий,5,5,5
,$0.50,$0.45,$0.40
Building heights / Высоты зданий,10,10,10
,$1.00,$0.90,$0.80
Roads / Дороги и дорожный граф,5,5,5
,$0.50,$0.45,$0.40
Road classification / Классификация дорог,5,5,5
,$0.50,$0.45,$0.40
Forest / Маска леса,5,5,5
,$0.50,$0.45,$0.40
Forest classification / Лесная классификация,10,10,10
,$0.50,$0.45,$0.40
Construction / Строительство,2,2,2
,$0.50,$0.45,$0.40
